Seed,Metric,abortion,cloning,death penalty,gun control,marijuana legal,minimum wage,nuclear energy,school uniforms
Seed8,acc,"66,2","73,07","62,93","62,78","68,41","73,24","73,92","76,25"
Seed8,P-,"39,15","59,47","57,35","34,96","57,45","58,06","62,57","71,43"
Seed8,R-,"50,3","80,36","50,43","59,4","42,86","64,86","68,42","54,79"
Seed8,P+,"37,1","76,11","29,89","46,91","52,17","60,19","53,66","57,26"
Seed8,R+,"33,82","60,56","53,4","24,05","50,85","53,45","54,1","61,47"
Seed8,P no arg,"86,92","83,27","83,97","83,7","78,47","85,19","85,26","83,65"
Seed8,R no arg,"80,66","74,92","72,73","80,16","89,33","85,19","81,84","89,91"
Seed9,F1-avg (macroweigh),"0,5265","0,6946","0,5397","0,5303","0,6267","0,6664","0,6593","0,6924"
Seed9,acc,"64,55","70,77","60,6","63,38","69,22","72,64","72,66","75,75"
Seed9,P-,"38,32","54,23","50,49","35,24","58,82","63,22","59,59","75,79"
Seed9,R-,"38,79","83,93","44,83","55,64","47,62","49,55","67,25","49,32"
Seed9,P+,"36,24","78,43","30,06","48,81","50,85","54,74",50,"54,55"
Seed9,R+,"39,71","56,34","50,49","25,95","50,85","64,66","52,46","71,56"
Seed9,P no arg,"82,8","85,02","81,53","82,4","80,87","84,62","86,36","84,07"
Seed9,R no arg,"80,25","70,23","72,47","81,75","88,54","85,56","80,66","88,18"
Seed10,F1-avg (macroweigh),"0,5273","0,6864","0,5534","0,5182","0,6184","0,6764","0,6476","0,6611"
Seed10,acc,"65,44","70,28","61,83","62,03","69,22","72,84","71,55","74,42"
Seed10,P-,"38,36","55,65","51,89","34,39","59,8","57,8",60,"71,28"
Seed10,R-,"50,91","82,14","59,05","57,14","48,41","56,76","59,65","45,89"
Seed10,P+,"36,89","76,24","31,39","44,71",52,"56,82","48,57","58,65"
Seed10,R+,"27,94","54,23","41,75","24,05","44,07","64,66","55,74","55,96"
Seed10,P no arg,"94,52","81,92","82,42","82,92","78,31","87,5","84,28","79,21"
Seed10,R no arg,"80,86","71,24","68,69","79,63","91,3","82,96","80,9","92,22"
